data,tipo,valor,descricao
2025-03-22,Investimentos,"788,40",
2025-03-23,faturamento,"500,95",
2025-03-24,faturamento,"316,50",
2025-03-24,Investimentos,"580,00",
2025-03-25,faturamento,"1.363,35",
2025-03-25,Investimentos,"264,10",
2025-03-26,faturamento,"1.191,90",
2025-03-27,faturamento,"1.263,55",
2025-03-27,Investimentos,"468,00",
2025-03-28,faturamento,"1.609,95",
2025-03-28,Investimentos,"3.480,15",
2025-03-29,faturamento,"978,40",
2025-03-29,Investimentos,"2.301,90",
2025-03-30,faturamento,"410,55",
2025-03-31,faturamento,"728,00",
2025-03-31,Investimentos,"620,00",
2025-03-31,Despesa de Casa,"1.900,00",Comida
2025-03-31,Pagamento de funcionários,"3.000,00",Todos
2025-04-01,faturamento,"954,90",
2025-04-01,Investimentos,"1.985,27",
2025-04-02,faturamento,"1.274,75",
2025-04-02,Investimentos,"791,40",
2025-04-03,faturamento,"1.207,75",
2025-04-03,Investimentos,"342,00",
2025-04-03,Pagamentos de energia,"105,00",Equatorial
2025-04-04,faturamento,"3.475,10",
2025-04-04,Investimentos,"160,00",
2025-04-05,faturamento,"2.515,30",
2025-04-05,Investimentos,"129,80",
2025-04-06,faturamento,"594,15",
2025-04-07,faturamento,"2.089,50",
2025-04-07,Investimentos,"475,00",
2025-04-08,faturamento,"579,25",
2025-04-08,Investimentos,"2.699,81",
2025-04-09,faturamento,"1.175,50",
2025-04-09,Investimentos,"1.745,70",
2025-04-10,faturamento,"559,85",
2025-04-10,Investimentos,"1.414,84",
2025-04-11,faturamento,"778,05",
2025-04-11,Investimentos,"1.536,45",
2025-04-12,faturamento,"1.184,45",
2025-04-12,Investimentos,"394,76",
2025-04-13,faturamento,"601,60",
2025-04-13,Investimentos,"96,00",
2025-04-14,faturamento,"575,25",
2025-04-14,Investimentos,"1.002,95",
2025-04-14,Despesa de Casa,"115,00",Internet
2025-04-15,faturamento,"801,20",
2025-04-15,Investimentos,"443,50",
2025-04-16,faturamento,"182,00",
2025-04-16,Investimentos,"854,25",
2025-04-17,faturamento,"738,20",
2025-04-17,Investimentos,"672,42",
2025-04-18,faturamento,"508,60",
2025-04-18,Investimentos,"285,00",
2025-04-19,faturamento,"1.195,65",
2025-04-19,Investimentos,"1.528,45",
2025-04-20,faturamento,"559,75",
2025-04-21,faturamento,"624,00",
2025-04-21,Investimentos,"72,00",
2025-04-22,faturamento,"306,40",
2025-04-22,Investimentos,"1.050,09",
2025-04-22,Pagamentos de energia,"1.191,89",Placa Solar
2025-04-23,faturamento,"399,50",
2025-04-23,Investimentos,"651,23",
2025-04-24,faturamento,"616,70",
2025-04-24,Investimentos,"654,00",
2025-04-25,faturamento,"1.225,10",
2025-04-25,Investimentos,"520,00",
2025-04-26,faturamento,"1.744,35",
2025-04-26,Investimentos,"1.094,05",
2025-04-27,faturamento,"1.521,75",
2025-04-28,faturamento,"520,35",
2025-04-28,Investimentos,"722,45",
2025-04-29,faturamento,"1.338,60",
2025-04-29,Investimentos,"1.351,30",
2025-04-30,faturamento,"819,60",
2025-04-30,Investimentos,"709,60",
2025-04-30,Pagamento de funcionários,"3.000,00",Todos
2025-04-30,Despesa de Casa,"2.000,00",Comida
