data,tipo,valor,descricao
2025-05-01,faturamento,"535,90",
2025-05-01,Investimentos,"216,00",
2025-05-02,faturamento,"933,75",
2025-05-02,Investimentos,"915,40",
2025-05-03,faturamento,"1.624,00",
2025-05-03,Investimentos,"1.521,75",
2025-05-04,faturamento,"542,45",
2025-05-05,faturamento,"2.155,10",
2025-05-05,Investimentos,"949,30",
2025-05-06,faturamento,"3.489,48",
2025-05-06,Investimentos,"1.416,66",
2025-05-07,faturamento,"2.754,65",
2025-05-07,Investimentos,"3.704,53",
2025-05-08,faturamento,"1.240,10",
2025-05-08,Investimentos,"1.427,15",
2025-05-09,faturamento,"762,80",
2025-05-09,Investimentos,"1.390,42",
2025-05-10,faturamento,"1.722,20",
2025-05-10,Investimentos,"1.844,90",
2025-05-11,faturamento,"1.198,70",
2025-05-12,faturamento,"1.046,45",
2025-05-12,Investimentos,"1.338,82",
2025-05-12,Pagamentos de energia,"1.428,58",
2025-05-12,Despesa de Casa,"115,00",
2025-05-13,faturamento,"765,55",
2025-05-13,Investimentos,"812,00",
2025-05-14,faturamento,"489,85",
2025-05-14,Investimentos,"704,50",
2025-05-15,faturamento,"963,75",
2025-05-15,Investimentos,"927,00",
2025-05-16,faturamento,"453,85",
2025-05-16,Investimentos,"272,00",
2025-05-17,faturamento,"1.757,05",
2025-05-17,Investimentos,"1.620,10",
2025-05-18,faturamento,"630,75",
2025-05-19,faturamento,"362,50",
2025-05-19,Investimentos,"1.041,19",
2025-05-20,faturamento,"1.011,10",
2025-05-20,Investimentos,"465,90",
2025-05-21,faturamento,"441,95",
2025-05-21,Investimentos,"527,00",
2025-05-22,faturamento,"588,00",
2025-05-22,Investimentos,"896,67",
2025-05-23,faturamento,"728,35",
2025-05-23,Investimentos,"751,20",
2025-05-24,faturamento,"1.122,15",
2025-05-24,Investimentos,"525,32",
2025-05-25,faturamento,"483,75",
2025-05-26,faturamento,"507,05",
2025-05-26,Investimentos,"1.234,47",
2025-05-27,faturamento,"1.253,95",
2025-05-27,Investimentos,"250,70",
2025-05-28,faturamento,"1.041,90",
2025-05-28,Investimentos,"60,00",
2025-05-29,faturamento,"1.497,20",
2025-05-29,Investimentos,"1.985,50",
2025-05-30,faturamento,"1.416,40",
2025-05-30,Investimentos,"638,13",
2025-05-31,faturamento,"957,20",
2025-05-31,Investimentos,"2.887,45",
2025-05-31,Despesa de Casa,"1.600,00",
2025-05-31,Pagamento de funcionários,"3.000,00",
